"Country (or dependent territory)","1985","%","1990","%","1995","%","2000","%","2005","%","2010","%","2015","%"
"Turks and Caicos Islands","10",4.53,"12",4.33,"15",5.35,"20",5.22,"28",7.44,"44",9.39,"51",3.08
"Tuvalu","9",1.81,"10",2.37,"10",1.22,"11",0.59,"11",0.26,"11",0.59,"11",0.75
"Uganda","13,811",2.82,"16,549",3.68,"19,641",3.48,"22,917",3.13,"26,917",3.27,"31,508",3.2,"37,102",3.32
"Ukraine","50,945",0.36,"51,623",0.26,"51,248",-0.15,"49,014",-0.89,"47,003",-0.83,"45,769",-0.53,"44,430",-0.59
"United Arab Emirates","1,364",6.39,"1,827",6.02,"2,458",6.12,"3,220",5.54,"4,087",4.89,"4,976",4.02,"5,780",3.04
"United Kingdom","56,585",0.1,"57,411",0.29,"58,187",0.27,"59,140",0.33,"60,488",0.45,"62,349",0.61,"64,089",0.55
"United States","237,924",0.92,"249,623",0.96,"266,279",1.3,"282,163",1.17,"295,517",0.93,"309,348",0.92,"321,369",0.77
"United States Virgin Islands","101",0.22,"104",0.63,"108",0.73,"109",0.15,"108",-0.14,"107",-0.3,"104",-0.51
"Uruguay","3,019",0.6,"3,086",0.44,"3,151",0.42,"3,220",0.44,"3,265",0.28,"3,302",0.22,"3,342",0.25
"Uzbekistan","18,216",2.64,"20,531",2.42,"23,068",2.36,"25,042",1.66,"26,540",1.17,"27,866",0.98,"29,200",0.94
"Vanuatu","135",2.9,"154",2.69,"173",2.31,"192",2.1,"218",2.62,"246",2.4,"273",2.11
"Venezuela","16,998",2.85,"19,326",2.6,"21,550",2.2,"23,493",1.74,"25,270",1.47,"27,224",1.5,"29,276",1.46
"Vietnam","60,094",2.27,"67,259",2.28,"73,784",1.87,"79,178",1.42,"84,425",1.29,"89,572",1.19,"94,349",1.04
"Wallis and Futuna","14",3.78,"14",0.72,"15",0.79,"15",0.91,"16",0.58,"16",0.33,"16",0.35
"Western Sahara","180",7.65,"218",3.92,"264",3.95,"337",4.97,"416",4.32,"492",3.42,"571",3.04
"Yemen","10,540",2.91,"12,417",3.33,"14,832",3.62,"17,236",3.05,"20,003",3.02,"23,210",3.02,"26,738",2.87
"Zambia","6,536",3.36,"7,604",3.07,"8,691",2.71,"9,984",2.81,"11,373",2.64,"13,042",2.78,"15,067",2.93
"Zimbabwe","8,561",3.61,"10,157",3.48,"11,160",1.9,"11,821",1.16,"11,640",-0.31,"11,652",0.02,"14,230",4.08
"World","4,856,463",1.76,"5,288,956",1.72,"5,699,203",1.51,"6,088,572",1.33,"6,473,045",1.23,"6,866,333",1.19,"7,256,491",1.11
