"Country (or dependent territory)","1985","%","1990","%","1995","%","2000","%","2005","%","2010","%","2015","%"
"Curaçao","154",0.77,"146",-1.1,"142",-0.53,"134",-1.1,"137",0.31,"144",1.06,"149",0.69
"Cyprus","680",1.51,"746",1.87,"848",2.61,"920",1.65,"1,011",1.91,"1,103",1.76,"1,190",1.52
"Czech Republic","10,311",0.04,"10,310",0,"10,324",0.03,"10,269",-0.11,"10,267",0,"10,551",0.55,"10,645",0.18
"Democratic Republic of the Congo","33,348",2.83,"39,152",3.26,"46,705",3.59,"52,446",2.35,"60,699",2.97,"69,852",2.85,"79,376",2.59
"Denmark","5,114",-0.04,"5,141",0.11,"5,233",0.35,"5,338",0.4,"5,433",0.35,"5,516",0.3,"5,582",0.24
"Djibouti","383",3.18,"500",5.49,"554",2.07,"670",3.89,"667",-0.09,"741",2.13,"829",2.27
"Dominica","74",-0.21,"71",-0.86,"72",0.4,"71",-0.17,"73",0.37,"73",0.19,"74",0.22
"Dominican Republic","6,379",2.29,"7,084",2.12,"7,759",1.84,"8,469",1.77,"9,165",1.59,"9,824",1.4,"10,479",1.3
"Timor-Leste","649",3.09,"740",2.66,"868",3.24,"768",-2.43,"985",5.11,"1,088",2.02,"1,232",2.51
"Ecuador","9,062",2.73,"10,319",2.63,"11,266",1.77,"12,446",2.01,"13,663",1.88,"14,791",1.6,"15,869",1.42
"Egypt","50,053",3.26,"54,908",1.87,"58,946",1.43,"65,159",2.02,"72,544",2.17,"80,472",2.1,"88,488",1.92
"El Salvador","4,672",0.44,"5,110",1.81,"5,480",1.41,"5,850",1.32,"5,957",0.36,"6,053",0.32,"6,142",0.29
"Equatorial Guinea","326",4.9,"372",2.68,"427",2.81,"492",2.89,"568",2.91,"651",2.78,"741",2.63
"Eritrea","2,942",2.75,"3,138",1.3,"3,566",2.58,"4,198",3.32,"5,070",3.85,"5,793",2.7,"6,528",2.42
"Estonia","1,539",0.74,"1,570",0.4,"1,447",-1.62,"1,380",-0.94,"1,332",-0.71,"1,303",-0.44,"1,266",-0.58
"Ethiopia","40,684",2.46,"47,555",3.17,"55,726",3.22,"64,366",2.92,"74,355",2.93,"86,043",2.96,"99,466",2.94
"Faroe Islands","46",0.96,"48",0.81,"44",-1.7,"46",1.02,"49",1.07,"50",0.31,"51",0.46
"Federated States of Micronesia","91",3.29,"109",3.68,"106",-0.49,"108",0.33,"109",0.07,"108",-0.17,"106",-0.36
"Fiji","699",1.95,"740",1.14,"773",0.87,"805",0.83,"837",0.77,"876",0.93,"910",0.75
"Finland","4,902",0.51,"4,987",0.34,"5,105",0.47,"5,169",0.25,"5,239",0.27,"5,355",0.44,"5,477",0.45
"France","56,561",0.5,"58,256",0.59,"59,824",0.53,"61,256",0.47,"63,060",0.58,"64,941",0.59,"66,554",0.49
"French Polynesia","176",3.06,"200",2.61,"217",1.68,"236",1.7,"254",1.47,"269",1.16,"283",1.01
"Gabon","834",3.14,"939",2.4,"1,070",2.65,"1,237",2.95,"1,396",2.45,"1,546",2.06,"1,706",1.99
"Georgia","5,193",0.58,"5,432",0.9,"5,042",-1.48,"4,819",-0.9,"4,791",-0.12,"4,903",0.47,"4,932",0.12
"Germany","77,685",-0.16,"79,381",0.43,"81,654",0.57,"82,184",0.13,"82,440",0.06,"81,645",-0.19,"80,855",-0.19
"Ghana","13,573",4.01,"15,549",2.76,"17,322",2.18,"18,982",1.85,"21,107",2.15,"23,572",2.23,"26,328",2.24
"Gibraltar","29",-0.13,"30",0.32,"27",-1.66,"28",0.38,"29",0.86,"29",0.29,"30",0.26
"Greece","9,924",0.58,"10,130",0.41,"10,458",0.64,"10,560",0.19,"10,669",0.21,"10,750",0.15,"10,776",0.05
"Greenland","54",1.15,"56",0.92,"57",0.2,"57",0.25,"58",0.31,"58",-0.05,"58",0.03
"Grenada","94",0.63,"95",0.24,"98",0.74,"102",0.78,"105",0.58,"108",0.61,"111",0.53
"Guam","121",2.45,"135",2.15,"145",1.46,"156",1.5,"159",0.39,"160",0.13,"162",0.29
"Guatemala","7,581",2.66,"8,966",3.41,"10,028",2.26,"11,086",2.02,"12,183",1.91,"13,551",2.15,"14,919",1.94
"Guernsey","56",0.67,"63",2.57,"61",-0.53,"62",0.32,"64",0.38,"65",0.51,"67",0.4
"Guinea","5,227",3.28,"6,119",3.2,"7,446",4,"8,351",2.32,"9,154",1.85,"10,325",2.44,"11,781",2.67
"Guinea-Bissau","886",2.33,"996",2.39,"1,144",2.8,"1,279",2.27,"1,415",2.03,"1,566",2.05,"1,727",1.98
"Guyana","763",0.08,"772",0.24,"769",-0.07,"785",0.41,"775",-0.26,"746",-0.76,"736",-0.29
"Haiti","6,120",2.13,"6,798",2.12,"7,571",2.18,"8,413",2.13,"9,205",1.82,"9,649",0.95,"10,111",0.94
"Honduras","4,078",3.69,"4,795",3.29,"5,551",2.97,"6,360",2.76,"7,194",2.49,"7,990",2.12,"8,747",1.83
"Hong Kong","5,457",1.51,"5,688",0.84,"6,223",1.81,"6,656",1.36,"6,905",0.74,"7,030",0.36,"7,142",0.32
"Hungary","10,649",-0.12,"10,372",-0.53,"10,281",-0.18,"10,148",-0.26,"10,058",-0.18,"9,993",-0.13,"9,898",-0.19
"Iceland","242",1.13,"255",1.08,"268",0.99,"282",0.99,"297",1.09,"318",1.39,"332",0.87
"India","759,613",2.09,"838,159",1.99,"920,585",1.89,"1,006,301",1.8,"1,090,974",1.63,"1,173,109",1.46,"1,251,696",1.31
"Indonesia","166,070",2.01,"181,600",1.8,"197,604",1.7,"214,091",1.62,"229,245",1.38,"243,423",1.21,"255,994",1.01
"Iran","48,619",4.13,"58,101",3.63,"64,218",2.02,"68,632",1.34,"72,283",1.04,"76,924",1.25,"81,825",1.24
"Iraq","15,694",3.47,"18,140",2.94,"19,658",1.62,"23,129",3.3,"27,538",3.55,"30,527",2.08,"37,057",3.95
"Ireland","3,541",0.8,"3,509",-0.18,"3,614",0.6,"3,823",1.13,"4,200",1.9,"4,623",1.94,"4,893",1.14
"Isle of Man","65",0.1,"69",1.34,"73",1.01,"76",0.92,"80",1.01,"84",1.05,"88",0.86
"Israel","4,050",1.71,"4,460",1.95,"5,335",3.65,"6,098",2.71,"6,726",1.98,"7,369",1.84,"8,050",1.78
"Italy","56,719",0.09,"56,714",0,"57,295",0.2,"57,785",0.17,"59,038",0.43,"60,749",0.57,"61,856",0.36
"Ivory Coast","10,332",3.75,"12,491",3.87,"14,846",3.51,"16,885",2.61,"18,921",2.3,"21,059",2.16,"23,296",2.04
"Jamaica","2,319",0.79,"2,348",0.25,"2,470",1.02,"2,616",1.16,"2,737",0.91,"2,848",0.8,"2,951",0.71
"Japan","120,755",0.67,"123,538",0.46,"125,328",0.29,"126,776",0.23,"127,716",0.15,"127,580",-0.02,"126,920",-0.1
"Jersey","80",1.05,"84",0.99,"85",0.33,"88",0.56,"89",0.25,"94",1.08,"98",0.83
"Jordan","2,669",4.04,"3,321",4.47,"4,249",5.05,"4,786",2.4,"5,363",2.31,"6,501",3.92,"8,118",4.54
"Kazakhstan","15,999",1.3,"16,776",0.95,"16,390",-0.46,"15,688",-0.87,"16,123",0.55,"17,085",1.17,"18,158",1.22
"Kenya","19,763",3.89,"23,361",3.4,"27,164",3.06,"30,606",2.42,"35,247",2.86,"40,844",2.99,"45,926",2.37
"Kiribati","63",1.52,"72",2.82,"77",1.43,"86",2.15,"93",1.7,"100",1.45,"106",1.22
"Kosovo","1,683",2.03,"1,862",2.05,"2,029",1.73,"1,701",-3.47,"1,768",0.78,"1,816",0.53,"1,871",0.61
"Kuwait","1,733",4.81,"2,132",4.23,"1,665",-4.82,"1,973",3.45,"2,257",2.73,"2,544",2.42,"2,789",1.86
"Kyrgyzstan","4,062",2.27,"4,484",2,"4,621",0.6,"4,938",1.34,"5,165",0.9,"5,411",0.94,"5,665",0.92
"Laos","3,658",2.12,"4,211",2.86,"4,847",2.85,"5,398",2.18,"5,837",1.58,"6,369",1.76,"6,912",1.65
"Latvia","2,607",0.64,"2,664",0.43,"2,481",-1.41,"2,369",-0.92,"2,259",-0.94,"2,116",-1.31,"1,987",-1.25
"Lebanon","3,177",1.83,"3,452",1.67,"3,673",1.25,"3,835",0.87,"4,139",1.54,"4,493",1.65,"6,185",6.6
"Lesotho","1,552",2.69,"1,704",1.88,"1,848",1.64,"1,917",0.73,"1,923",0.06,"1,920",-0.03,"1,948",0.29
"Liberia","2,162",3.08,"2,139",-0.22,"1,901",-2.34,"2,601",6.48,"2,931",2.41,"3,686",4.69,"4,196",2.63
"Liechtenstein","27",1.4,"29",1.39,"31",1.41,"33",1.18,"35",1.27,"37",0.71,"38",0.81
"Lithuania","3,588",0.87,"3,684",0.53,"3,510",-0.96,"3,490",-0.12,"3,327",-0.95,"3,089",-1.47,"2,885",-1.36
"Luxembourg","368",0.15,"383",0.85,"410",1.35,"439",1.37,"468",1.29,"510",1.73,"571",2.29
"Libya","3,661",3.64,"4,099",2.29,"4,584",2.26,"5,025",1.85,"5,571",2.08,"6,111",1.87,"6,412",0.97
"Macau","306",3.64,"352",2.84,"402",2.67,"432",1.47,"475",1.89,"568",3.68,"593",0.86
"North Macedonia","1,845",0.58,"1,862",0.18,"1,955",0.98,"2,015",0.61,"2,046",0.3,"2,073",0.26,"2,097",0.23
"Madagascar","10,029",2.9,"11,633",3.01,"13,533",3.07,"15,713",3.03,"18,132",2.91,"20,847",2.83,"23,813",2.7
"Malawi","7,321",3.19,"9,360",5.04,"9,809",0.94,"11,130",2.56,"12,864",2.94,"15,183",3.37,"17,965",3.42
"Malaysia","15,650",3.06,"17,883",2.7,"20,340",2.61,"23,152",2.62,"25,969",2.32,"28,275",1.72,"30,514",1.54
"Maldives","178",3.01,"217",4.09,"261",3.77,"300",2.86,"337",2.31,"396",3.31,"394",-0.12
"Mali","7,623",2.11,"8,487",2.17,"9,489",2.26,"10,788",2.6,"12,528",3.04,"14,583",3.09,"16,956",3.06
"Malta","348",-0.95,"360",0.69,"377",0.97,"390",0.68,"399",0.44,"407",0.41,"414",0.35
"Marshall Islands","39",4.5,"46",3.69,"50",1.61,"54",1.35,"60",2.17,"66",2.19,"73",1.85
"Mauritania","1,724",2.21,"1,925",2.24,"2,235",3.03,"2,501",2.28,"2,838",2.56,"3,206",2.46,"3,597",2.33
"Mauritius","1,021",1.15,"1,062",0.79,"1,124",1.13,"1,186",1.09,"1,243",0.94,"1,295",0.81,"1,340",0.7
"Mexico","76,601",2.31,"84,635",2.01,"92,584",1.81,"99,776",1.51,"106,577",1.33,"114,062",1.37,"121,737",1.31
"Moldova","4,149",0.75,"4,375",1.07,"4,356",-0.09,"4,181",-0.82,"3,949",-1.14,"3,732",-1.12,"3,547",-1.01
"Monaco","29",1.2,"30",1.24,"31",0.62,"32",0.6,"32",-0.48,"31",-0.33,"31",-0.03
"Mongolia","1,860",2.35,"2,122",2.67,"2,307",1.69,"2,461",1.3,"2,603",1.13,"2,784",1.35,"2,993",1.46
"Montenegro","561",0.02,"584",0.8,"671",2.83,"733",1.78,"700",-0.92,"667",-0.95,"648",-0.6
"Montserrat","12",-0.77,"11",-1.07,"11",-0.87,"4",-17.39,"5",2.77,"6",2.47,"6",0.48
"Morocco","21,644",2.12,"24,000",2.09,"26,148",1.73,"28,114",1.46,"29,901",1.24,"31,628",1.13,"33,323",1.05
"Mozambique","13,294",1.89,"12,990",-0.46,"15,889",4.11,"17,997",2.52,"20,069",2.2,"22,418",2.24,"25,304",2.45
"Myanmar","36,766",1.98,"40,464",1.94,"43,994",1.69,"47,439",1.52,"50,573",1.29,"53,415",1.1,"56,321",1.07
"Namibia","1,205",2.62,"1,471",4.08,"1,682",2.72,"1,894",2.4,"2,029",1.39,"2,129",0.97,"2,213",0.78
"Nauru","9",2.01,"10",2.18,"10",0.69,"10",0.08,"11",0.31,"10",-1.54,"10",0.58
"Nepal","16,570",2.47,"18,919",2.69,"21,877",2.95,"24,819",2.56,"27,094",1.77,"28,952",1.34,"31,552",1.73
"Netherlands","14,505",0.49,"14,966",0.63,"15,477",0.67,"15,931",0.58,"16,300",0.46,"16,574",0.33,"16,948",0.45
"New Caledonia","153",1.82,"169",2.05,"192",2.57,"212",1.95,"233",1.93,"253",1.66,"272",1.48
"New Zealand","3,324",0.95,"3,414",0.53,"3,643",1.3,"3,803",0.86,"4,049",1.26,"4,253",0.99,"4,439",0.86
"Nicaragua","3,181",2.56,"3,644",2.76,"4,402",3.85,"4,867",2.03,"5,268",1.6,"5,605",1.25,"5,908",1.06
"Niger","6,870",2.43,"7,826",2.64,"9,111",3.09,"10,726",3.32,"12,783",3.57,"15,271",3.62,"18,046",3.4
"Nigeria","84,898",2.56,"96,685",2.63,"109,753",2.57,"123,946",2.46,"141,190",2.64,"160,342",2.58,"181,563",2.52
"North Korea","18,831",1.6,"20,452",1.67,"22,108",1.57,"22,785",0.61,"23,621",0.72,"24,326",0.59,"24,984",0.53
"Northern Mariana Islands","22",4.83,"45",15.54,"58",5.38,"70",4.02,"71",0.27,"54",-5.4,"53",-0.44
"Norway","4,153",0.32,"4,243",0.43,"4,360",0.55,"4,493",0.6,"4,625",0.58,"4,892",1.13,"5,208",1.26
